neighborhood,ocorrencias,idade_media,acao_policial,pct_fim_semana,periodo_MADRUGADA,periodo_MANHÃ,periodo_NOITE,periodo_TARDE,tipo_AMEACA,tipo_DISPARO,tipo_HOMICIDIO/TENTATIVA,tipo_OUTROS,tipo_ROUBO,tipo_TIRO,cluster
AFLITOS,57,31.80701754385965,0.10526315789473684,0.15789473684210525,0.19298245614035087,0.08771929824561403,0.42105263157894735,0.2982456140350877,0.14035087719298245,0.19298245614035087,0.3684210526315789,0.10526315789473684,0.07017543859649122,0.12280701754385964,2
ALTO JOSE DO PINHO,103,28.57281553398058,0.038834951456310676,0.36893203883495146,0.24271844660194175,0.10679611650485436,0.44660194174757284,0.20388349514563106,0.0970873786407767,0.2524271844660194,0.42718446601941745,0.07766990291262135,0.04854368932038835,0.0970873786407767,0
BOA VISTA,42,32.904761904761905,0.0,0.2619047619047619,0.16666666666666666,0.07142857142857142,0.5,0.2619047619047619,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.023809523809523808,0.11904761904761904,0.23809523809523808,1
BREJO DA GUARDEIRA,72,29.86111111111111,0.06944444444444445,0.375,0.2638888888888889,0.1388888888888889,0.3888888888888889,0.20833333333333334,0.027777777777777776,0.25,0.4027777777777778,0.06944444444444445,0.06944444444444445,0.18055555555555555,0
CASA AMARELA,56,30.803571428571427,0.03571428571428571,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.625,0.16071428571428573,0.10714285714285714,0.30357142857142855,0.25,0.03571428571428571,0.08928571428571429,0.21428571428571427,1
CAXANGA,62,28.112903225806452,0.06451612903225806,0.3225806451612903,0.20967741935483872,0.11290322580645161,0.46774193548387094,0.20967741935483872,0.06451612903225806,0.3709677419354839,0.3548387096774194,0.016129032258064516,0.04838709677419355,0.14516129032258066,0
COHAB,133,28.593984962406015,0.06015037593984962,0.23308270676691728,0.24812030075187969,0.10526315789473684,0.44360902255639095,0.20300751879699247,0.09022556390977443,0.22556390977443608,0.47368421052631576,0.06015037593984962,0.06015037593984962,0.09022556390977443,0
CORDOARIA,91,30.175824175824175,0.054945054945054944,0.3076923076923077,0.23076923076923078,0.0989010989010989,0.46153846153846156,0.2087912087912088,0.07692307692307693,0.26373626373626374,0.34065934065934067,0.08791208791208792,0.07692307692307693,0.15384615384615385,0
CURADO,83,27.91566265060241,0.08433734939759036,0.3373493975903614,0.1927710843373494,0.07228915662650602,0.5301204819277109,0.20481927710843373,0.024096385542168676,0.30120481927710846,0.3855421686746988,0.08433734939759036,0.08433734939759036,0.12048192771084337,0
ESPINHEIRO,43,32.06976744186046,0.11627906976744186,0.18604651162790697,0.23255813953488372,0.09302325581395349,0.5116279069767442,0.16279069767441862,0.18604651162790697,0.3023255813953488,0.23255813953488372,0.06976744186046512,0.06976744186046512,0.13953488372093023,2
